DATE,CE16OV_PC1,LES1252881600Q_PC1,REAINTRATREARAT1YE
1982-01-01,-0.52907,-0.63694,6.2412219666666667
1982-04-01,-1.04728,0.96463,8.5725942000000000
1982-07-01,-0.93416,0.64725,5.4753391666666667
1982-10-01,-0.95627,0.32051,5.2455190666666667
1983-01-01,-0.56732,0.96154,4.9575092666666667
1983-04-01,0.20051,0.00000,5.4488735000000000
1983-07-01,2.07682,1.28617,5.3124481333333333
1983-10-01,3.49914,-0.31949,4.6648651333333333
1984-01-01,4.56008,-0.63492,5.3872638000000000
1984-04-01,5.09780,-0.63694,5.3702480666666667
1984-07-01,3.69253,-0.63492,6.2653368000000000
1984-10-01,3.27166,1.28205,6.3338338000000000
1985-01-01,2.84702,0.31949,4.8235121000000000
1985-04-01,1.66698,3.52564,4.7425316000000000
1985-07-01,1.73085,2.23642,4.2787518333333333
1985-10-01,1.96235,1.26582,4.2499171000000000
1986-01-01,1.98783,2.22930,4.6979944333333333
1986-04-01,2.26111,1.54799,4.8580997333333333
1986-07-01,2.59704,2.50000,3.2854827333333333
1986-10-01,2.28531,3.43750,2.6252303666666667
1987-01-01,2.27281,2.18069,2.6875294000000000
1987-04-01,2.70346,0.00000,2.4890473333333333
1987-07-01,2.63405,0.60976,2.4072695666666667
1987-10-01,2.74650,-0.90634,3.1668136333333333
1988-01-01,2.59638,0.30488,2.6763225000000000
1988-04-01,2.19779,-0.91463,2.9466913333333333
1988-07-01,2.09628,-1.51515,3.0389479666666667
1988-10-01,2.13224,-1.21951,3.1446435333333333
1989-01-01,2.40330,-1.82371,3.3764940666666667
1989-04-01,2.25231,-0.92308,4.3389703000000000
1989-07-01,1.96212,-0.92308,3.8685506000000000
1989-10-01,1.57572,-0.61728,3.9063790000000000
1990-01-01,1.95061,-1.23839,3.8737188000000000
1990-04-01,1.52781,-0.93168,4.1856779666666667
1990-07-01,1.03694,-2.79503,3.6816753333333333
1990-10-01,0.49813,-3.10559,2.2430904000000000
1991-01-01,-1.11825,-0.94044,2.8422359666666667
1991-04-01,-1.06391,-2.19436,3.1769173666666667
1991-07-01,-0.88618,-0.31949,2.7331467000000000
1991-10-01,-0.57648,0.32051,1.9548262333333333
1992-01-01,0.14943,-0.31646,1.4429441666666667
1992-04-01,0.57533,0.32051,1.4980973000000000
1992-07-01,0.92895,0.64103,1.10201091000000000000
1992-10-01,0.98149,-0.31949,0.91430723000000000000
1993-01-01,1.13515,0.00000,0.75000537333333333333
1993-04-01,1.31158,1.27796,0.85743359666666666667
1993-07-01,1.57694,1.59236,0.84058137000000000000
1993-10-01,1.95091,2.24359,0.73695630333333333333
1994-01-01,2.26046,0.31746,0.66690804333333333333
1994-04-01,2.19768,0.00000,1.3695156333333333
1994-07-01,2.17146,-1.56740,1.8357956333333333
1994-10-01,2.72193,-1.56740,2.0286206666666667
1995-01-01,2.34001,-0.94937,2.2494705333333333
1995-04-01,1.65856,-0.94637,3.0610123000000000
1995-07-01,1.37017,0.95541,2.3856303666666667
1995-10-01,0.62006,-0.31847,2.6364157666666667
1996-01-01,0.55534,-0.31949,2.3852581000000000
1996-04-01,1.32446,-0.63694,2.4231885000000000
1996-07-01,1.82870,-0.94637,2.6020171333333333
1996-10-01,2.09150,0.00000,2.3226539000000000
1997-01-01,2.35273,0.32051,2.1772290333333333
1997-04-01,2.42292,0.64103,2.6520771000000000
1997-07-01,2.14749,0.00000,2.8090723333333333
1997-10-01,2.08333,0.31949,2.4449738666666667
1998-01-01,1.77957,1.91693,2.6285694000000000
1998-04-01,1.48421,1.59236,2.7249455666666667
1998-07-01,1.24509,2.22930,2.2840989333333333
1998-10-01,1.37161,4.45860,2.1671447333333333
1999-01-01,1.65236,1.56740,2.1061057000000000
1999-04-01,1.48967,3.13480,2.7044352666666667
1999-07-01,1.52190,2.80374,2.6309859666666667
1999-10-01,1.49768,2.13415,2.0895529666666667
2000-01-01,2.76509,3.08642,2.6508101000000000
2000-04-01,2.80149,1.51976,2.5543155333333333
2000-07-01,2.33934,1.51515,3.1986584333333333
2000-10-01,2.28362,-0.29851,2.7072290000000000
2001-01-01,0.80882,-0.29940,3.1923715333333333
2001-04-01,0.10320,0.59880,1.9021318666666667
2001-07-01,0.01756,0.89552,1.17941495000000000000
2001-10-01,-0.81233,1.79641,0.62769967666666666667
2002-01-01,-1.17554,2.40240,0.90776110666666666667
2002-04-01,-0.53105,0.89286,0.36150418666666666667
2002-07-01,0.06388,-0.29586,0.14081936666666666667
2002-10-01,0.31272,-1.17647,-0.17994168666666666667
2003-01-01,0.98380,-1.75953,-0.18404371000000000000
2003-04-01,0.95018,-0.29499,-0.41644626333333333333
2003-07-01,0.53896,0.00000,0.02025906666666666667
2003-10-01,1.18647,0.29762,-0.32072253333333333333
2004-01-01,0.76007,0.59701,-0.20112586000000000000
2004-04-01,0.90540,0.88757,-0.63716278000000000000
2004-07-01,1.45020,-0.59347,-0.75682138333333333333
2004-10-01,1.27019,0.00000,0.30751094666666666667
2005-01-01,1.40011,-0.29674,0.48485206333333333333
2005-04-01,1.88886,-2.05279,0.65849409333333333333
2005-07-01,1.96959,-1.19403,1.4459490333333333
2005-10-01,1.83557,-1.48368,1.10665087000000000000
2006-01-01,2.15152,-1.19048,2.4630775333333333
2006-04-01,1.79614,-1.49701,2.2568493000000000
2006-07-01,1.58857,0.90634,2.3625412666666667
2006-10-01,2.10823,1.50602,3.2088561666666667
2007-01-01,1.87221,1.20482,2.2860480333333333
2007-04-01,1.23761,1.82371,1.5338886333333333
2007-07-01,0.96600,0.59880,1.9481731333333333
2007-10-01,0.45694,-1.48368,1.7983753666666667
2008-01-01,0.04904,-0.29762,0.68387997000000000000
2008-04-01,0.05142,0.00000,-0.22560473000000000000
2008-07-01,-0.46137,-1.48810,-1.10238488000000000000
2008-10-01,-1.49106,2.40964,2.1758813666666667
2009-01-01,-3.21942,2.98507,2.4503430000000000
2009-04-01,-3.85219,2.98507,0.20863720666666666667
2009-07-01,-4.03845,4.22961,-0.98495100666666666667
2009-10-01,-3.97135,1.17647,-1.01170224000000000000
2010-01-01,-2.05631,-0.28986,-1.16592762333333333333
2010-04-01,-0.76833,-0.86957,-0.44433184000000000000
2010-07-01,-0.04734,-0.86957,-0.29786952666666666667
2010-10-01,0.56853,-0.87209,-1.03488270333333333333
2011-01-01,0.60442,-1.74419,-1.3385378000000000
2011-04-01,0.21907,-1.75439,-1.8785123666666667
2011-07-01,0.39138,-1.75439,-1.5362599233333333
2011-10-01,1.10956,-1.75953,-1.7303164666666667
2012-01-01,1.72013,-0.88757,-1.5283742000000000
2012-04-01,1.88775,0.29762,-1.16123001666666666667
2012-07-01,1.90111,-0.89286,-1.5004583333333333
2012-10-01,1.89483,-0.59701,-1.8957329333333333
2013-01-01,1.05575,-1.19403,-0.52444344333333333333
2013-04-01,1.17703,-0.59347,-0.65569163333333333333
2013-07-01,1.25834,0.30030,-1.03265035666666666667
2013-10-01,0.62777,0.30030,-1.3358311666666667
2014-01-01,1.38661,1.20846,-1.20694755666666666667
2014-04-01,1.44212,-1.49254,-1.3440871666666667
2014-07-01,1.54708,0.59880,-1.6918316000000000
2014-10-01,2.23016,0.59880,-1.32109279333333333333
2015-01-01,1.92369,1.79104,1.19416465333333333333
2015-04-01,1.92009,2.72727,-1.00139055000000000000
2015-07-01,1.62153,1.19048,-1.4379066333333333
2015-10-01,1.44447,2.67857,-0.77173496000000000000
2016-01-01,1.91124,1.46628,-0.29339820666666666667
2016-04-01,1.63288,1.76991,-0.97097101000000000000
2016-07-01,1.84788,2.05882,-1.7071255933333333
2016-10-01,1.57451,1.15942,-1.9290058533333333
2017-01-01,1.07926,1.73410,-0.90382333000000000000
2017-04-01,1.37023,2.60870,-0.09542070333333333333
2017-07-01,1.37642,1.44092,-0.61079391000000000000
2017-10-01,1.18753,-1.14613,-1.5462616966666667
2018-01-01,1.60761,-0.28409,-0.08816192000000000000
2018-04-01,1.55512,-0.84746,0.65689980333333333333
2018-07-01,1.35231,0.56818,-0.30980604333333333333
2018-10-01,1.80981,2.89855,0.13845352000000000000
2019-01-01,1.16545,1.13960,2.2878098066666667
2019-04-01,0.84513,1.99430,2.2779739166666667
2019-07-01,1.26605,1.69492,0.66055223666666666667
2019-10-01,1.27005,1.97183,-0.18442748000000000000
2020-01-01,0.56177,3.66197,0.73867384666666666667
2020-04-01,-12.32434,9.77654,2.5121685133333333
2020-07-01,-7.40100,6.66667,-1.10124223666666666667
2020-10-01,-5.52297,3.86740,-1.4630725466666667
2021-01-01,-4.60921,1.35870,-1.7146539900000000
2021-04-01,10.10394,-5.59796,-1.7180574933333333
2021-07-01,4.83611,-4.42708,-2.8984552233333333
2021-10-01,3.59843,-3.72340,-2.4564020333333333
2022-01-01,4.88422,-2.94906,-2.6263916533333333
2022-04-01,4.44984,-3.50404,-3.5028774733333333
2022-07-01,3.54183,-1.63488,-1.8210292033333333
2022-10-01,.,.,.
