DFF,GDPC1,GDPPOT,PCECTPI,timeline
19.92028,4.22596,4.22998,2.56234,2000-01-01
32.10582,5.24468,4.20746,2.46751,2000-04-01
27.94428,3.97408,4.13283,2.564,2000-07-01
22.07513,2.90162,3.99866,2.52252,2000-10-01
-1.42122,2.19554,3.81327,2.44926,2001-01-01
-31.01533,0.99193,3.60753,2.4415,2001-04-01
-46.2912,0.48735,3.40089,1.83599,2001-07-01
-67.09698,0.17064,3.20229,1.30513,2001-10-01
-69.03897,1.32881,3.01602,0.76245,2002-01-01
-59.51794,1.32288,2.8548,1.03611,2002-04-01
-50.28249,2.14067,2.7275,1.50826,2002-07-01
-32.20918,1.99129,2.63104,1.94,2002-10-01
-27.88536,1.67619,2.56896,2.51395,2003-01-01
-28.82239,1.95699,2.53569,1.86103,2003-04-01
-41.58966,3.23991,2.51491,2.00459,2003-07-01
-30.98517,4.29508,2.5113,2.0297,2003-10-01
-19.82917,4.35338,2.52269,2.03626,2004-01-01
-18.88056,4.23481,2.53735,2.62048,2004-04-01
40.70551,3.49083,2.56716,2.44954,2004-07-01
95.62704,3.35577,2.59724,2.81951,2004-10-01
146.43962,3.90862,2.60316,2.62576,2005-01-01
190.88341,3.60741,2.58364,2.58326,2005-04-01
141.82937,3.44767,2.5402,3.18402,2005-07-01
104.02475,2.98267,2.47645,3.12423,2005-10-01
80.40142,3.22486,2.41022,3.06074,2006-01-01
66.8248,2.97727,2.35016,3.31245,2006-04-01
51.59902,2.32829,2.27748,2.94374,2006-07-01
31.78962,2.6089,2.19633,1.96252,2006-10-01
17.97091,1.54072,2.12905,2.36276,2007-01-01
7.02658,1.93864,2.07645,2.33436,2007-04-01
-3.25963,2.39856,2.05118,2.17749,2007-07-01
-14.25314,2.16088,2.04513,3.38698,2007-10-01
-39.4539,1.4468,2.03516,3.28452,2008-01-01
-60.30922,1.38013,2.00464,3.41127,2008-04-01
-61.75563,0.2422,1.94702,3.92787,2008-07-01
-88.75967,-2.54034,1.86487,1.23861,2008-10-01
-94.20246,-3.28239,1.75327,-0.25663,2009-01-01
-91.46065,-3.9955,1.63314,-0.82495,2009-04-01
-92.0466,-3.13768,1.51542,-1.19659,2009-07-01
-76.57561,0.08166,1.41579,1.18193,2009-10-01
-27.40964,1.76846,1.35399,2.26308,2010-01-01
7.83951,2.92747,1.32796,2.016,2010-04-01
22.32394,3.34919,1.34023,1.51332,2010-07-01
60.14692,2.78845,1.37636,1.3807,2010-10-01
15.43568,2.03061,1.42444,1.83875,2011-01-01
-50.71551,1.73791,1.4791,2.68058,2011-04-01
-55.72827,0.91822,1.53069,2.95749,2011-07-01
-60.77982,1.52269,1.5797,2.63972,2011-10-01
-32.59652,2.60025,1.62458,2.45921,2012-01-01
60.97561,2.37382,1.66633,1.70744,2012-04-01
72.69181,2.59262,1.70319,1.53317,2012-07-01
116.81287,1.56606,1.73661,1.76681,2012-10-01
37.90788,1.6163,1.76783,1.46181,2013-01-01
-23.95382,1.29617,1.79257,1.2889,2013-04-01
-40.96386,1.91984,1.81087,1.40509,2013-07-01
-46.93189,2.53205,1.82748,1.2621,2013-10-01
-49.72931,1.29406,1.84109,1.38332,2014-01-01
-21.44213,2.452,1.85209,1.8187,2014-04-01
4.59184,2.83146,1.86852,1.69408,2014-07-01
18.4244,2.56376,1.88213,1.15314,2014-10-01
56.30769,3.7612,1.89155,0.25101,2015-01-01
38.04348,3.03985,1.89748,0.23518,2015-04-01
51.21951,2.18267,1.89129,0.19382,2015-07-01
59.01288,1.87468,1.87499,0.21053,2015-10-01
218.70295,1.64819,1.85316,0.68198,2016-01-01
194.05074,1.36763,1.82583,0.82508,2016-04-01
192.98387,1.64826,1.79649,0.95947,2016-07-01
178.20513,2.00418,1.77191,1.53745,2016-10-01
94.25439,1.84242,1.75399,2.08432,2017-01-01
156.50104,2.04691,1.74007,1.69821,2017-04-01
192.15524,2.27654,1.74335,1.68611,2017-07-01
168.80912,2.79432,1.75973,1.85171,2017-10-01
107.04293,3.0635,1.78396,1.98205,2018-01-01
83.343,3.26198,1.82189,2.2769,2018-04-01
66.95873,3.15398,1.85855,2.27054,2018-07-01
84.29126,2.31258,1.88645,2.00622,2018-10-01
65.98326,2.16023,1.90436,1.48715,2019-01-01
38.02354,2.13554,1.91338,1.56334,2019-04-01
13.80848,2.30583,1.91371,1.46658,2019-07-01
-25.87515,2.57263,1.90946,1.4519,2019-10-01
-47.74933,0.82008,1.89697,1.61007,2020-01-01
-97.54767,-8.35064,1.86285,0.53524,2020-04-01
-95.77549,-2.02401,1.78619,1.10946,2020-07-01
-94.6037,-1.51662,1.73556,1.15611,2020-10-01
-93.87313,1.19194,1.7094,1.90453,2021-01-01
16.07477,12.46085,1.71823,3.97755,2021-04-01
-2.8169,4.95565,1.77441,4.5319,2021-07-01
-10.52632,5.7171,1.81509,5.68051,2021-10-01
57.94798,3.68368,1.83746,6.42496,2022-01-01
